,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SUBJECT,PHASE,TRIAL,TRIAL_ABS,DIRECTION,ROT,SIG_MP,HA_INIT,HA_MID,HA_END,GROUP
0,0,0,0,1,BASELINE,1,1,CCW,0,4,3.2233548780000003,-0.33831817700000005,-1.946038879,2
1,1,1,1,1,BASELINE,2,2,CCW,0,4,2.331359866,-1.097898893,-7.631523887,2
2,2,2,2,1,BASELINE,3,3,CCW,0,4,0.448694453,2.455792987,-3.382795005,2
3,3,3,3,1,BASELINE,4,4,CCW,0,4,2.451735923,1.117112431,-3.678809357,2
4,4,4,4,1,BASELINE,5,5,CCW,0,4,3.536056837,-0.44213304,-1.756372768,2
5,5,5,5,1,BASELINE,6,6,CCW,0,4,1.6168067069999998,1.916396151,-0.994592243,2
6,6,6,6,1,BASELINE,7,7,CCW,0,4,0.022635832,0.670562007,-6.5019654010000005,2
7,7,7,7,1,BASELINE,8,8,CCW,0,4,4.872041782,1.4219795430000002,-3.771707396,2
8,8,8,8,1,BASELINE,9,9,CCW,0,4,3.790898001,2.153611042,-0.33906308,2
9,9,9,9,1,BASELINE,10,10,CCW,0,4,-0.542958955,0.909124035,-0.47282677,2
10,10,10,10,2,BASELINE,1,1,CCW,0,4,4.204994651,-3.1688129010000003,-1.6338187080000002,2
11,11,11,11,2,BASELINE,2,2,CCW,0,4,1.250357452,-0.692733064,-0.971682716,2
12,12,12,12,2,BASELINE,3,3,CCW,0,4,4.128185322,-0.925193895,-2.723718947,2
13,13,13,13,2,BASELINE,4,4,CCW,0,4,-0.8279221440000001,-0.202729799,-1.974650518,2
14,14,14,14,2,BASELINE,5,5,CCW,0,4,0.6386333989999999,0.667347206,-5.851607003,2
15,15,15,15,2,BASELINE,6,6,CCW,0,4,-2.920851909,1.55676903,-1.541790669,2
16,16,16,16,2,BASELINE,7,7,CCW,0,4,4.790139348,2.613411431,2.196226066,2
17,17,17,17,2,BASELINE,8,8,CCW,0,4,0.373827426,-1.367472143,-2.77389251,2
18,18,18,18,2,BASELINE,9,9,CCW,0,4,1.848198677,-4.925779336000001,-2.01272914,2
19,19,19,19,2,BASELINE,10,10,CCW,0,4,1.851113731,2.31231045,-1.246407521,2
20,20,20,20,3,BASELINE,1,1,CCW,0,4,6.465969474,1.126005509,0.166287863,2
21,21,21,21,3,BASELINE,2,2,CCW,0,4,4.124755005,0.578257441,-2.021563045,2
22,22,22,22,3,BASELINE,3,3,CCW,0,4,-0.387123116,-0.227398937,-4.270013857,2
23,23,23,23,3,BASELINE,4,4,CCW,0,4,4.988398298,-1.477668697,0.504923668,2
24,24,24,24,3,BASELINE,5,5,CCW,0,4,2.746870679,-3.700704493,-1.081438919,2
25,25,25,25,3,BASELINE,6,6,CCW,0,4,2.911080038,3.939589008,0.210106236,2
26,26,26,26,3,BASELINE,7,7,CCW,0,4,0.301246279,0.628361066,-4.43726066,2
27,27,27,27,3,BASELINE,8,8,CCW,0,4,0.640265717,2.880924358,-2.377583774,2
28,28,28,28,3,BASELINE,9,9,CCW,0,4,1.471160771,1.019481146,-4.735172554,2
29,29,29,29,3,BASELINE,10,10,CCW,0,4,1.946277832,0.142725425,-1.656337844,2
30,30,30,30,4,BASELINE,1,1,CCW,0,4,4.300504848,-0.361761846,-2.582302767,2
31,31,31,31,4,BASELINE,2,2,CCW,0,4,-0.06502480299999999,2.934817143,-6.495115735,2
32,32,32,32,4,BASELINE,3,3,CCW,0,4,2.443830706,-1.204522504,-3.91908345,2
33,33,33,33,4,BASELINE,4,4,CCW,0,4,0.809961521,-3.126580115,-1.489166199,2
34,34,34,34,4,BASELINE,5,5,CCW,0,4,1.910988869,1.201800689,-0.166241679,2
35,35,35,35,4,BASELINE,6,6,CCW,0,4,3.144271313,-0.7118394109999999,-5.1129962,2
36,36,36,36,4,BASELINE,7,7,CCW,0,4,0.226524715,-0.25578920000000005,-0.17015393899999998,2
37,37,37,37,4,BASELINE,8,8,CCW,0,4,4.018962752,-0.385016991,-3.730287758,2
38,38,38,38,4,BASELINE,9,9,CCW,0,4,3.481704135,0.933117239,-4.252252693,2
39,39,39,39,4,BASELINE,10,10,CCW,0,4,3.055074394,2.977397429,-3.115003757,2
40,40,40,40,5,BASELINE,1,1,CCW,0,4,1.899326944,-0.981243101,-0.871512675,2
41,41,41,41,5,BASELINE,2,2,CCW,0,4,2.688514441,2.954479674,-3.14275595,2
42,42,42,42,5,BASELINE,3,3,CCW,0,4,3.808598606,-2.884930507,-4.028815262,2
43,43,43,43,5,BASELINE,4,4,CCW,0,4,1.585490998,3.544380295,-1.537563023,2
44,44,44,44,5,BASELINE,5,5,CCW,0,4,3.592578669,0.479038535,1.061686681,2
45,45,45,45,5,BASELINE,6,6,CCW,0,4,4.925250876000001,0.60342994,-2.867562884,2
46,46,46,46,5,BASELINE,7,7,CCW,0,4,5.655763215,0.194669957,-1.27088769,2
47,47,47,47,5,BASELINE,8,8,CCW,0,4,3.397049666,2.788187273,-0.571777587,2
48,48,48,48,5,BASELINE,9,9,CCW,0,4,4.551625847,3.026526314,-0.046660596,2
49,49,49,49,5,BASELINE,10,10,CCW,0,4,4.280913915,-0.170421131,0.44423939,2
50,50,50,50,6,BASELINE,1,1,CCW,0,4,2.244005334,2.064008017,-1.77921457,2
51,51,51,51,6,BASELINE,2,2,CCW,0,4,0.6805199120000001,5.086617798,-3.226047212,2
52,52,52,52,6,BASELINE,3,3,CCW,0,4,4.157822918,0.076145189,-3.192660759,2
53,53,53,53,6,BASELINE,4,4,CCW,0,4,-0.740198165,-1.674942552,-0.813604718,2
54,54,54,54,6,BASELINE,5,5,CCW,0,4,-0.529396503,2.382310319,-2.603611155,2
55,55,55,55,6,BASELINE,6,6,CCW,0,4,1.297870908,-0.475917966,1.181919268,2
56,56,56,56,6,BASELINE,7,7,CCW,0,4,3.208939313,1.379569836,-2.940161919,2
57,57,57,57,6,BASELINE,8,8,CCW,0,4,0.644503597,-0.428479784,3.398645475,2
58,58,58,58,6,BASELINE,9,9,CCW,0,4,0.232703188,-0.928708504,1.124561984,2
59,59,59,59,6,BASELINE,10,10,CCW,0,4,1.4781750180000002,-0.629369206,-1.323721035,2
60,60,60,60,7,BASELINE,1,1,CCW,0,4,-0.380701603,1.300111151,-1.4664305780000002,2
61,61,61,61,7,BASELINE,2,2,CCW,0,4,-1.610598664,-2.490605437,-2.213824119,2
62,62,62,62,7,BASELINE,3,3,CCW,0,4,2.794949202,0.502891921,-0.442168729,2
63,63,63,63,7,BASELINE,4,4,CCW,0,4,3.737442718,-0.218285934,-1.598027545,2
64,64,64,64,7,BASELINE,5,5,CCW,0,4,-2.364004319,1.230349272,0.969539566,2
65,65,65,65,7,BASELINE,6,6,CCW,0,4,-2.486106988,0.613824415,0.017439718,2
66,66,66,66,7,BASELINE,7,7,CCW,0,4,0.750948178,-2.9776517730000003,-5.560475157000001,2
67,67,67,67,7,BASELINE,8,8,CCW,0,4,1.363978429,-0.53619316,-3.112644399,2
68,68,68,68,7,BASELINE,9,9,CCW,0,4,1.19611207,-1.253499668,-2.7248882830000003,2
69,69,69,69,7,BASELINE,10,10,CCW,0,4,2.202299842,3.592802186,-0.605938647,2
70,70,70,70,8,BASELINE,1,1,CCW,0,4,4.828730593,0.068583689,-5.424290902,2
71,71,71,71,8,BASELINE,2,2,CCW,0,4,2.137988532,-0.585360749,-1.6443113880000002,2
72,72,72,72,8,BASELINE,3,3,CCW,0,4,-1.370391725,-1.764706181,-1.855494697,2
73,73,73,73,8,BASELINE,4,4,CCW,0,4,0.194361858,-2.832409638,1.418796807,2
74,74,74,74,8,BASELINE,5,5,CCW,0,4,2.187371425,1.490876245,-4.74337559,2
75,75,75,75,8,BASELINE,6,6,CCW,0,4,-1.131352445,-1.960798287,-0.312777572,2
76,76,76,76,8,BASELINE,7,7,CCW,0,4,1.698802366,0.998088454,0.518520937,2
77,77,77,77,8,BASELINE,8,8,CCW,0,4,0.22785622,-0.35846911600000003,-2.798753114,2
78,78,78,78,8,BASELINE,9,9,CCW,0,4,2.70045679,1.644002971,-1.981898537,2
79,79,79,79,8,BASELINE,10,10,CCW,0,4,-2.214185577,2.071597363,2.290181209,2
80,80,80,80,9,BASELINE,1,1,CCW,0,4,-3.771446565,1.4818582880000002,-1.597191351,2
81,81,81,81,9,BASELINE,2,2,CCW,0,4,-0.65012267,3.993301398,-2.157852998,2
82,82,82,82,9,BASELINE,3,3,CCW,0,4,-2.024355761,0.8798161059999999,-5.021957359,2
83,83,83,83,9,BASELINE,4,4,CCW,0,4,1.561816266,2.934441633,0.163436265,2
84,84,84,84,9,BASELINE,5,5,CCW,0,4,2.247516941,2.197747712,-3.25086954,2
85,85,85,85,9,BASELINE,6,6,CCW,0,4,0.781564716,5.565001721000002,-2.474516368,2
86,86,86,86,9,BASELINE,7,7,CCW,0,4,1.368760991,2.12490638,-1.227560319,2
87,87,87,87,9,BASELINE,8,8,CCW,0,4,-0.415624639,-1.607371895,-5.859221165,2
88,88,88,88,9,BASELINE,9,9,CCW,0,4,-0.180156459,0.58678828,0.487698058,2
89,89,89,89,9,BASELINE,10,10,CCW,0,4,2.355670232,2.278565012,-4.250264298,2
90,90,90,90,10,BASELINE,1,1,CCW,0,4,2.053890866,1.368600007,2.458703779,2
91,91,91,91,10,BASELINE,2,2,CCW,0,4,2.942384945,-0.544045719,-0.838836499,2
92,92,92,92,10,BASELINE,3,3,CCW,0,4,0.325106363,-0.075009868,0.705408404,2
93,93,93,93,10,BASELINE,4,4,CCW,0,4,5.8190137,1.431168533,-5.141672983,2
94,94,94,94,10,BASELINE,5,5,CCW,0,4,-0.6701251189999999,-0.79606104,1.162358417,2
95,95,95,95,10,BASELINE,6,6,CCW,0,4,-0.423591169,-0.967548559,-2.050475093,2
96,96,96,96,10,BASELINE,7,7,CCW,0,4,-2.884124823,-0.132969602,3.4403804210000004,2
97,97,97,97,10,BASELINE,8,8,CCW,0,4,4.7205288560000005,1.905599735,-2.578708187,2
98,98,98,98,10,BASELINE,9,9,CCW,0,4,1.513359331,3.177518671,-3.839511957,2
99,99,99,99,10,BASELINE,10,10,CCW,0,4,3.361237614,0.8766576490000001,-1.443277652,2
100,100,100,100,11,BASELINE,1,1,CCW,0,4,2.323858201,2.118721526,-4.018275987,2
101,101,101,101,11,BASELINE,2,2,CCW,0,4,2.952278157,-0.385713259,-5.720554552,2
102,102,102,102,11,BASELINE,3,3,CCW,0,4,0.279299,2.367853517,-3.621552594,2
103,103,103,103,11,BASELINE,4,4,CCW,0,4,2.9216532889999995,-1.152918148,2.3338100280000003,2
104,104,104,104,11,BASELINE,5,5,CCW,0,4,4.097845489,3.768359399,-0.696558204,2
105,105,105,105,11,BASELINE,6,6,CCW,0,4,3.482089412,3.850834277,-3.079391083,2
106,106,106,106,11,BASELINE,7,7,CCW,0,4,1.26224074,0.512763802,-1.194461869,2
107,107,107,107,11,BASELINE,8,8,CCW,0,4,0.585285947,0.950988755,-2.221997409,2
108,108,108,108,11,BASELINE,9,9,CCW,0,4,2.634120244,1.179340134,2.440924564,2
109,109,109,109,11,BASELINE,10,10,CCW,0,4,-1.069218316,1.77614949,-4.203510879,2
110,110,110,110,12,BASELINE,1,1,CCW,0,4,3.085492786,-3.670516405,-2.6019937680000003,2
111,111,111,111,12,BASELINE,2,2,CCW,0,4,-0.049237112,-1.115956689,-3.572305123,2
112,112,112,112,12,BASELINE,3,3,CCW,0,4,0.6865134820000001,0.09161242,1.239601676,2
113,113,113,113,12,BASELINE,4,4,CCW,0,4,1.068041355,-1.885713335,-1.655827888,2
114,114,114,114,12,BASELINE,5,5,CCW,0,4,-0.902882547,-1.197724523,-5.084191147,2
115,115,115,115,12,BASELINE,6,6,CCW,0,4,2.821694467,2.753675976,-1.894836363,2
116,116,116,116,12,BASELINE,7,7,CCW,0,4,0.855295108,0.030023428,-0.989941474,2
117,117,117,117,12,BASELINE,8,8,CCW,0,4,0.7699975370000001,1.6106835919999998,-1.379535165,2
118,118,118,118,12,BASELINE,9,9,CCW,0,4,3.499917622,4.328702042,-3.694978606,2
119,119,119,119,12,BASELINE,10,10,CCW,0,4,0.475257169,1.5940544209999998,2.446015852,2
120,120,120,120,13,BASELINE,1,1,CCW,0,4,1.551236426,-1.269989062,-4.808917457,2
121,121,121,121,13,BASELINE,2,2,CCW,0,4,1.324731585,-0.515016898,-2.221908955,2
122,122,122,122,13,BASELINE,3,3,CCW,0,4,-0.385845705,-0.46700724,-2.056798192,2
123,123,123,123,13,BASELINE,4,4,CCW,0,4,-0.861535067,0.214599118,-2.212632826,2
124,124,124,124,13,BASELINE,5,5,CCW,0,4,3.464901761,-0.505656295,1.127373701,2
125,125,125,125,13,BASELINE,6,6,CCW,0,4,2.132077191,5.414606966,-0.924634314,2
126,126,126,126,13,BASELINE,7,7,CCW,0,4,4.464141748,0.144483823,-1.247211451,2
127,127,127,127,13,BASELINE,8,8,CCW,0,4,4.137082092,3.504195617,1.453856646,2
128,128,128,128,13,BASELINE,9,9,CCW,0,4,3.64894616,-0.474174375,-2.39594086,2
129,129,129,129,13,BASELINE,10,10,CCW,0,4,2.845759307,-0.651093164,-0.124447983,2
130,130,130,130,14,BASELINE,1,1,CCW,0,4,0.410269957,0.182489798,-4.618429666,2
131,131,131,131,14,BASELINE,2,2,CCW,0,4,3.881521884,-0.494562613,-3.312871919,2
132,132,132,132,14,BASELINE,3,3,CCW,0,4,4.227054055,-3.988120983,-3.413025159,2
133,133,133,133,14,BASELINE,4,4,CCW,0,4,2.54994202,4.419951984,-2.898919313,2
134,134,134,134,14,BASELINE,5,5,CCW,0,4,3.626998496,-1.3875892230000002,-5.394982204,2
135,135,135,135,14,BASELINE,6,6,CCW,0,4,3.943528884,-1.247029268,-1.485214185,2
136,136,136,136,14,BASELINE,7,7,CCW,0,4,-0.105265192,1.066445573,-6.537806045,2
137,137,137,137,14,BASELINE,8,8,CCW,0,4,3.280202192,-2.77025298,-3.887937981,2
138,138,138,138,14,BASELINE,9,9,CCW,0,4,1.5703091059999998,1.200597818,-2.368382319,2
139,139,139,139,14,BASELINE,10,10,CCW,0,4,2.492623197,-0.20902115,-0.7882998059999999,2
140,140,140,140,15,BASELINE,1,1,CCW,0,4,0.326228921,3.811060427,-3.489278157,2
141,141,141,141,15,BASELINE,2,2,CCW,0,4,3.691872344,0.408372492,-2.509412154,2
142,142,142,142,15,BASELINE,3,3,CCW,0,4,3.108678828,-1.217041679,-5.422402767,2
143,143,143,143,15,BASELINE,4,4,CCW,0,4,2.375643895,2.327704771,-3.810553258,2
144,144,144,144,15,BASELINE,5,5,CCW,0,4,4.210321157,-0.29194311100000003,-0.860771627,2
145,145,145,145,15,BASELINE,6,6,CCW,0,4,0.108105438,3.46052656,-1.245776163,2
146,146,146,146,15,BASELINE,7,7,CCW,0,4,1.211224526,-1.695173567,-3.639553425,2
147,147,147,147,15,BASELINE,8,8,CCW,0,4,2.160303136,0.7907387570000001,-2.252891247,2
148,148,148,148,15,BASELINE,9,9,CCW,0,4,1.701965253,-0.342386325,-2.799254519,2
149,149,149,149,15,BASELINE,10,10,CCW,0,4,4.0512401780000005,2.609412132,-4.630832014,2
150,150,150,150,16,BASELINE,1,1,CCW,0,4,0.427558582,-1.411651789,-4.101271595,2
151,151,151,151,16,BASELINE,2,2,CCW,0,4,-0.538320342,-1.343167561,-0.663697777,2
152,152,152,152,16,BASELINE,3,3,CCW,0,4,1.980589144,0.233502056,-2.769850398,2
153,153,153,153,16,BASELINE,4,4,CCW,0,4,3.112513098,-1.6467234730000002,-0.6911793759999999,2
154,154,154,154,16,BASELINE,5,5,CCW,0,4,-1.687920415,-0.341749794,-3.7038916,2
155,155,155,155,16,BASELINE,6,6,CCW,0,4,4.02308931,0.8006448540000001,-5.690990962000001,2
156,156,156,156,16,BASELINE,7,7,CCW,0,4,1.20080241,-1.36218857,0.80167361,2
157,157,157,157,16,BASELINE,8,8,CCW,0,4,4.1878372760000016,1.927718202,-1.109117181,2
158,158,158,158,16,BASELINE,9,9,CCW,0,4,0.266280529,0.322211525,-0.585123535,2
159,159,159,159,16,BASELINE,10,10,CCW,0,4,5.5913482000000005,-2.43184233,-6.600164542999999,2
160,160,160,160,17,BASELINE,1,1,CCW,0,4,1.672287132,-1.331305448,-4.087390655,2
161,161,161,161,17,BASELINE,2,2,CCW,0,4,7.451231596,0.617081607,-1.745272788,2
162,162,162,162,17,BASELINE,3,3,CCW,0,4,4.755264734,3.132424846,1.322527345,2
163,163,163,163,17,BASELINE,4,4,CCW,0,4,3.196462099,6.784413357,2.0615613930000003,2
164,164,164,164,17,BASELINE,5,5,CCW,0,4,1.051221399,2.866422318,-2.726022552,2
165,165,165,165,17,BASELINE,6,6,CCW,0,4,1.428852166,2.888025202,-0.656671607,2
166,166,166,166,17,BASELINE,7,7,CCW,0,4,5.936177164,2.12752913,-2.03727905,2
167,167,167,167,17,BASELINE,8,8,CCW,0,4,-1.06288985,0.182068976,-2.444853222,2
168,168,168,168,17,BASELINE,9,9,CCW,0,4,-0.421706254,1.801387219,-0.961901205,2
169,169,169,169,17,BASELINE,10,10,CCW,0,4,1.412696634,-0.265480204,1.270320553,2
170,170,170,170,18,BASELINE,1,1,CCW,0,4,-0.806347212,-0.032888891,-3.985186471000001,2
171,171,171,171,18,BASELINE,2,2,CCW,0,4,3.047395949,1.20013452,-0.240429351,2
172,172,172,172,18,BASELINE,3,3,CCW,0,4,1.376547384,-0.485343789,-6.022541354,2
173,173,173,173,18,BASELINE,4,4,CCW,0,4,2.810150983,0.058770675,-3.876651047,2
174,174,174,174,18,BASELINE,5,5,CCW,0,4,1.490585943,-4.915742747,-2.249953969,2
175,175,175,175,18,BASELINE,6,6,CCW,0,4,4.146918781,-2.265307061,-6.061407895,2
176,176,176,176,18,BASELINE,7,7,CCW,0,4,0.267532939,-0.4723888470000001,-0.825761093,2
177,177,177,177,18,BASELINE,8,8,CCW,0,4,1.868972994,-2.61746836,-2.502040346,2
178,178,178,178,18,BASELINE,9,9,CCW,0,4,2.510385527,1.251458948,1.074397205,2
179,179,179,179,18,BASELINE,10,10,CCW,0,4,4.647491682,-0.5217773520000001,-3.686786587,2
180,180,180,180,19,BASELINE,1,1,CCW,0,4,4.593795893999999,1.745466395,-0.198063333,2
181,181,181,181,19,BASELINE,2,2,CCW,0,4,0.808996175,2.961315545,-0.213593769,2
182,182,182,182,19,BASELINE,3,3,CCW,0,4,-3.259462418,2.636083926,-5.862182432999999,2
183,183,183,183,19,BASELINE,4,4,CCW,0,4,0.052288495,-0.134178832,1.19899748,2
184,184,184,184,19,BASELINE,5,5,CCW,0,4,2.205380656,1.087540989,3.312787035,2
185,185,185,185,19,BASELINE,6,6,CCW,0,4,2.6873773560000003,1.248929316,-1.206257753,2
186,186,186,186,19,BASELINE,7,7,CCW,0,4,1.005882781,3.791053006,-4.811023533999999,2
187,187,187,187,19,BASELINE,8,8,CCW,0,4,-0.020982907,-1.427522655,-2.262963887,2
188,188,188,188,19,BASELINE,9,9,CCW,0,4,2.580390911,0.7993225209999999,-2.475084699,2
189,189,189,189,19,BASELINE,10,10,CCW,0,4,0.885887953,2.334830296,-0.31902805100000003,2
190,190,190,190,20,BASELINE,1,1,CCW,0,4,-2.066115072,-0.549740404,0.448325309,2
191,191,191,191,20,BASELINE,2,2,CCW,0,4,4.676426633,0.866111993,-0.258417372,2
192,192,192,192,20,BASELINE,3,3,CCW,0,4,2.210457412,0.5750354010000001,-1.738850604,2
193,193,193,193,20,BASELINE,4,4,CCW,0,4,1.873514285,2.545464845,1.669853244,2
194,194,194,194,20,BASELINE,5,5,CCW,0,4,3.946348369,-1.833466558,-3.441325268,2
195,195,195,195,20,BASELINE,6,6,CCW,0,4,1.472822721,1.253770455,3.431223848,2
196,196,196,196,20,BASELINE,7,7,CCW,0,4,1.7737071009999998,-4.303013943,-2.488582886,2
197,197,197,197,20,BASELINE,8,8,CCW,0,4,-1.804950187,-1.436462023,-2.098352436,2
198,198,198,198,20,BASELINE,9,9,CCW,0,4,1.60296497,0.227601219,-3.582139466,2
199,199,199,199,20,BASELINE,10,10,CCW,0,4,1.432491598,3.393532277,0.029512257000000007,2
200,200,200,200,1,ADAPTATION,1,11,CCW,-25,1,1.5029192,2.837152304,5.775268289,2
201,201,201,201,1,ADAPTATION,2,12,CCW,-34,1,2.377164855,5.858090511,16.53067574,2
202,202,202,202,1,ADAPTATION,3,13,CCW,-38,1,5.232499796,7.385155665,22.36430086,2
203,203,203,203,1,ADAPTATION,4,14,CCW,-31,1,8.623385912,8.015438714,14.47260187,2
204,204,204,204,1,ADAPTATION,5,15,CCW,-30,1,7.644398454,10.44694321,17.83148049,2
205,205,205,205,1,ADAPTATION,6,16,CCW,-34,1,11.07488822,9.333895987,22.16316538,2
206,206,206,206,1,ADAPTATION,7,17,CCW,-23,1,7.616338829,9.783732238999999,11.25041698,2
207,207,207,207,1,ADAPTATION,8,18,CCW,-29,1,7.658124011,12.07939875,14.82881619,2
208,208,208,208,1,ADAPTATION,9,19,CCW,-22,1,10.4552289,10.67979289,7.813091096,2
209,209,209,209,1,ADAPTATION,10,20,CCW,-32,1,10.09027385,11.98794581,16.90360621,2
210,210,210,210,1,ADAPTATION,11,21,CCW,-30,1,10.24818884,12.54599379,16.80539842,2
211,211,211,211,1,ADAPTATION,12,22,CCW,-31,1,10.77128205,13.43309828,17.25754382,2
212,212,212,212,1,ADAPTATION,13,23,CCW,-28,1,12.70675371,13.45685346,16.540070800000002,2
213,213,213,213,1,ADAPTATION,14,24,CCW,-23,1,10.9636798,13.46427761,12.73936609,2
214,214,214,214,1,ADAPTATION,15,25,CCW,-34,1,12.65751825,14.61991945,26.33807866,2
215,215,215,215,1,ADAPTATION,16,26,CCW,-27,1,11.81719287,13.99770092,14.26644917,2
216,216,216,216,1,ADAPTATION,17,27,CCW,-31,1,12.02904642,14.09680774,19.8551069,2
217,217,217,217,1,ADAPTATION,18,28,CCW,-34,1,13.60577882,15.18290984,22.12321908,2
218,218,218,218,1,ADAPTATION,19,29,CCW,-32,1,14.78800182,16.80501252,27.1327899,2
219,219,219,219,1,ADAPTATION,20,30,CCW,-27,1,14.01466967,15.46243262,18.72347012,2
220,220,220,220,1,ADAPTATION,21,31,CCW,-29,1,15.42052221,18.43947895,18.36261835,2
221,221,221,221,1,ADAPTATION,22,32,CCW,-29,1,17.10791262,16.14111704,21.31836986,2
222,222,222,222,1,ADAPTATION,23,33,CCW,-34,1,16.42121958,15.56632516,23.8140234,2
223,223,223,223,1,ADAPTATION,24,34,CCW,-35,1,15.84531749,16.84302394,23.65786151,2
224,224,224,224,1,ADAPTATION,25,35,CCW,-26,1,18.88652822,17.5803581,17.68765525,2
225,225,225,225,1,ADAPTATION,26,36,CCW,-26,1,15.6012255,15.24245015,14.5868122,2
226,226,226,226,1,ADAPTATION,27,37,CCW,-31,1,16.16729616,16.92981718,21.60712134,2
227,227,227,227,1,ADAPTATION,28,38,CCW,-30,1,15.45026004,19.64943333,16.91410789,2
228,228,228,228,1,ADAPTATION,29,39,CCW,-31,1,18.55056951,17.88577776,22.0208546,2
229,229,229,229,1,ADAPTATION,30,40,CCW,-26,1,16.51383585,17.70445779,13.02358159,2
230,230,230,230,1,ADAPTATION,31,41,CCW,-25,1,16.19638532,19.13816591,14.61088959,2
231,231,231,231,1,ADAPTATION,32,42,CCW,-30,1,17.13799062,19.37637665,26.77215023,2
232,232,232,232,1,ADAPTATION,33,43,CCW,-35,1,15.27216308,20.07448975,28.28109042,2
233,233,233,233,1,ADAPTATION,34,44,CCW,-33,1,17.24501427,19.38979557,20.70869181,2
234,234,234,234,1,ADAPTATION,35,45,CCW,-30,1,18.86949816,19.29950949,18.05602025,2
235,235,235,235,1,ADAPTATION,36,46,CCW,-28,1,17.95610745,18.49551241,19.30806483,2
236,236,236,236,1,ADAPTATION,37,47,CCW,-25,1,19.56252596,17.99537552,18.23396312,2
237,237,237,237,1,ADAPTATION,38,48,CCW,-34,1,18.45867369,18.42336136,22.92731405,2
238,238,238,238,1,ADAPTATION,39,49,CCW,-33,1,16.75016498,21.15549505,30.08820843,2
239,239,239,239,1,ADAPTATION,40,50,CCW,-29,1,18.90602816,20.69998745,24.66764889,2
240,240,240,240,1,ADAPTATION,41,51,CCW,-32,1,20.22861219,20.48381525,23.78062935,2
241,241,241,241,1,ADAPTATION,42,52,CCW,-31,1,17.44111313,21.04095056,26.91226459,2
242,242,242,242,1,ADAPTATION,43,53,CCW,-34,1,19.62208806,19.6530277,27.90496278,2
243,243,243,243,1,ADAPTATION,44,54,CCW,-37,1,21.2437605,21.45488253,29.01652671,2
244,244,244,244,1,ADAPTATION,45,55,CCW,-23,1,18.58022795,21.1558737,13.49210696,2
245,245,245,245,1,ADAPTATION,46,56,CCW,-29,1,15.75503124,21.22925467,23.74959184,2
246,246,246,246,1,ADAPTATION,47,57,CCW,-30,1,19.13104401,19.24953246,19.04500922,2
247,247,247,247,1,ADAPTATION,48,58,CCW,-25,1,20.6744817,22.95027179,13.91731718,2
248,248,248,248,1,ADAPTATION,49,59,CCW,-29,1,21.6379412,21.31060635,20.99960337,2
249,249,249,249,1,ADAPTATION,50,60,CCW,-33,1,18.07582173,20.0006836,27.2750098,2
250,250,250,250,1,ADAPTATION,51,61,CCW,-27,1,18.09362054,22.02718594,20.52660577,2
251,251,251,251,1,ADAPTATION,52,62,CCW,-22,1,18.65079081,21.3808058,17.34950463,2
252,252,252,252,1,ADAPTATION,53,63,CCW,-26,1,19.16199468,21.23744421,17.42701096,2
253,253,253,253,1,ADAPTATION,54,64,CCW,-31,1,19.7961842,20.91279199,23.16880542,2
254,254,254,254,1,ADAPTATION,55,65,CCW,-27,1,18.20103671,23.7395393,17.58882536,2
255,255,255,255,1,ADAPTATION,56,66,CCW,-34,1,18.80781101,23.52798887,26.43005913,2
256,256,256,256,1,ADAPTATION,57,67,CCW,-28,1,22.96759718,23.81001334,17.92213764,2
257,257,257,257,1,ADAPTATION,58,68,CCW,-31,1,19.56065466,22.77335325,27.45900682,2
258,258,258,258,1,ADAPTATION,59,69,CCW,-28,1,24.00813357,23.49436118,22.0792834,2
259,259,259,259,1,ADAPTATION,60,70,CCW,-33,1,20.21325477,22.80899666,27.17592464,2
260,260,260,260,1,ADAPTATION,61,71,CCW,-23,1,23.29093044,24.06786221,16.46916533,2
261,261,261,261,1,ADAPTATION,62,72,CCW,-37,1,23.58106082,24.14680801,31.70738528,2
262,262,262,262,1,ADAPTATION,63,73,CCW,-29,1,19.52998365,24.0114574,22.7564867,2
263,263,263,263,1,ADAPTATION,64,74,CCW,-29,1,22.5002993,23.44867648,18.97025033,2
264,264,264,264,1,ADAPTATION,65,75,CCW,-24,1,22.75759989,23.48169175,16.82302209,2
265,265,265,265,1,ADAPTATION,66,76,CCW,-30,1,20.96717643,20.81862272,22.67447285,2
266,266,266,266,1,ADAPTATION,67,77,CCW,-30,1,21.27507275,22.2518965,24.39199483,2
267,267,267,267,1,ADAPTATION,68,78,CCW,-25,1,23.95157688,22.6905054,20.15590515,2
268,268,268,268,1,ADAPTATION,69,79,CCW,-32,1,21.71891031,24.65965801,28.91377969,2
269,269,269,269,1,ADAPTATION,70,80,CCW,-38,1,19.53183834,24.71120991,31.86737217,2
270,270,270,270,1,ADAPTATION,71,81,CCW,-35,1,20.58896838,23.36429237,31.21650799,2
271,271,271,271,1,ADAPTATION,72,82,CCW,-30,1,21.96363564,22.34505405,26.17086902,2
272,272,272,272,1,ADAPTATION,73,83,CCW,-32,1,21.46070861,24.67524848,30.35829069,2
273,273,273,273,1,ADAPTATION,74,84,CCW,-31,1,21.57697167,25.07213774,23.38310429,2
274,274,274,274,1,ADAPTATION,75,85,CCW,-32,1,23.00955123,26.30507335,23.50570941,2
